"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
1409,63046558.2914512,5436.09805478911,2001,TRUE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",8.62235497401643e-05
1409,63046558.2914512,36254973.999838,2004,TRUE,6,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.575050803443366
1409,63046558.2914512,0.0163960702047916,2009,TRUE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",2.60062890808345e-10
1409,63046558.2914512,532.183737773301,2010,TRUE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",8.44112275428464e-06
1420,527444557.453569,207600664.232764,1982,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.393597130350594
1420,527444557.453569,1532434.37886038,1991,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00290539423946047
1420,527444557.453569,10739.8404192929,2000,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",2.03620271884943e-05
1420,527444557.453569,NA,2004,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",NA
1420,527444557.453569,NA,2007,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",NA
1420,527444557.453569,NA,2009,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",NA
1420,527444557.453569,NA,2010,FALSE,12,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",NA
2034,65607608.6229569,48100398.1917573,1968,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.733152742514782
2115,757156572.926022,136987421.447391,1974,FALSE,6,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.180923505580892
2115,757156572.926022,11881027.0720932,1978,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.0156916382911122
2115,757156572.926022,7585724.04111862,1983,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.0100186993184299
2115,757156572.926022,120282194.389866,1989,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.158860397823712
2116,1996754796.15106,716028.167713642,1968,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.000358595942322941
2116,1996754796.15106,1744532.63774538,1978,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","UKR",0.000873683960147803
2937,80448196.6121798,2001772.60018115,1970,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.0248827529326876
2937,80448196.6121798,1207049.19020945,1985,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.0150040552932258
2937,80448196.6121798,73750644.30068,1991,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.916747017415604
2937,80448196.6121798,455311.899857247,1993,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","CZE",0.00565969057146414
